,text,requesting_help,disaster
64,a link to a gofundme for those being affected by the in the bahamas it has helped in the past with hurricane mathew please use your platform and help share it,1,hurricane
65,after disasters like it is inspiring to see individuals and organizations collaborating to meet the needs of those in crisis today we are thrilled to have partnered with and as we provided safe water for their work in the abacos,1,hurricane
68,family youve already contributed so much for us to aid those who were affected by if you would like to aid us simply lay your contribution at the altar tomorrow at am we ask that you would refrain from sending clothes however  at fellowship bible baptist church,1,hurricane
71,we are doing our best to help the in their time of need please join us at don julio mexican grill,1,hurricane
78,thank you to west palm beach for donating over gallons of water for the bahamas,1,hurricane
80,as part of pbda s various relief efforts nd and rd grades made cards this week for the to deliver to families in the bahamas this weekend the cards will be included in care packages filled with food and hygiene products,1,hurricane
81,we re still collecting supplies to support our brothers sisters recently impacted by in the bahamas review the relief items needed and help us help them by picking up some of the items and dropping them off at the on tomorrow during worship,1,hurricane
83,forced blood drive cancellations donation center closures in impacted areas in times like these we call on donors across the u s to step up and help out to ensure blood needs can be met in storm impacted areas around the u s give,1,hurricane
84,thanks to all who came to top golf yesterday we were also able to gather a lot of donations for hurricane dorian relief,1,hurricane
86,how you can help in the wake of  on the list donate blood learn more at,1,hurricane
91,in the wake of nick sealy thompson is embedded in the bahamas national emergency management agency s eoc working with government and relief agencies to coordinate logistic support and id critical infrastructure needs,1,hurricane
102,we need all hands on deck for our path to recovery united we will grow stronger,1,hurricane
106,please join and help support relief efforts text dorian to  to donate,1,hurricane
117,luxe carnival hurricane dorian relief drive donations of any value are welcomed and appreciated all proceeds go directly to the bahamas for hurricane relief efforts,1,hurricane
121,so proud of our in hours they helped pack  meals to go to the to help the victims of today was an amazing day to be an eagle,1,hurricane
123,join me in partnering with to deliver help and hope to those affected by in the bahamas,1,hurricane
125,naples fla billionaire philanthropist his yacht to  deliver tons of supplies to torn global very caring thank you now is hitting,1,hurricane
128,headknowlesfoundation needs your help in their new location,1,hurricane
130,if you are on and lost belongings due to please see this article for particulars on how you may qualify to receive some funds funds provided will not be clawed back,1,hurricane
134,i went to kellys to support the survivors of by giving blood i was the last donor of the day kellys house and home,1,hurricane
135,join fellows this sunday sept from pm at the lincoln road stage for a free benefit concert for those needing monetary help in the bahamas after being hit by,1,hurricane
136,an anonymous shopper is being praised for spending thousands of dollars on electrical to benefit victims in the,1,hurricane
137,were hosting a second webinar on sept at pm et register and join us to learn about the situation on the ground in affected communities and how best to support long term recovery,1,hurricane
138,meet the cats who survived the bahamas hurricane now theyre in and need your help,1,hurricane
140,if you haven t sent anything yet take some time this weekend and send some needed supplies to the bahamas and survivors even if it s it helps i m sending old clothes and lots of canned soups,1,hurricane
144,sol reliefs hangar may be full but jj lyon guard foundation is still accepting relief supplies address north th street tampa  open days per week am to pm here is a photo of some of the  lbs of supplies thank you,1,hurricane
152,thank you to all those who have donated to our emergency response together we can help restore health and hope to those in need in the be part of the response today,1,hurricane
154,our visitor center is teaming up with to assist those impacted by through the month of september drop off nonperishable food water toiletries batteries flashlights and baby products to adventure court davenport fl,1,hurricane
155,for this weeks find a way to help those affected by it could be something as simple as a prayer to help fund our disaster relief efforts in the bahamas click here,1,hurricane
160,humanitarian aid is still needed to help the people of the bahamas ravaged by have a read and please donate here please rt,1,hurricane
168,the devastation of the bahamas caused by is heartbreaking homes schools and businesses no longer exist people are in dire need of medical care shelter food water clothing and materials to rebuild this weekends is for disaster relief,1,hurricane
170,just bought a tee so happy that teamed up with hot topic to help with lets break the site again,1,hurricane
173,please give a rt of the attached tweet to help out stranded homeless animals,1,hurricane
174,just like that packages sent for some of our friends and family who were affected by,1,hurricane
185,this was my brothers home would you please help them rebuild,1,hurricane
186,has denied ppl of in safe haven to our shores a may soon hit a large swath there will be more displaced where the hell are these people going to get go how will they get the logistical help how many more will die,1,hurricane
188,dont forget people are still dealing with the effects of in the lives were destroyed and they need help to rebuild,1,hurricane
201,our donations also include mosquito nets for and to prevent vector borne diseases due to the increase in mosquitos that can occur following the hurricane,1,hurricane
209,thank you chef you re an inspiration to us all we can all support chef andr s and the great work he s doing through his website,1,hurricane
214,the victims of are still in urgent need of emergency supplies give today  p c dave miller,1,hurricane
217,pan american health world health organization has a permanent presence in and is working hard to support the bahamians and relief efforts in the aftermath of you can help them do their work find out how,1,hurricane
222,after the storm subsided and the waters began to recede a widow was alone to clean up but then knights stepped in to help read more of knights rebuild after hurricane dorian,1,hurricane
224,its a done deal in fort lauderdale mounts bays lh sc pete done met up with his son po we adam done this morning when hms protector called into fort lauderdale after delivering aid to the bahamas,1,hurricane
230,thank you kevin for joining us as we together packed million meals for families in need for those devastated by in the,1,hurricane
