screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,requesting_help,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,disaster
ThomasKBullock2,Thomas K. Bullock,8.13E+17,1.09E+18,/ThomasKBullock2/status/1091479641859198976,2/1/19 23:33,1549063999,"Lord, I hope not. We don’t need another 500 year flood down here in Louisiana!",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Lord, I hope not. We don’t <strong>need</strong> another 500 year <strong>flood</strong> down here in <strong>Louisiana</strong>!</p>",[],[],FALSE,[],,1,0,1,TRUE,TRUE,1.09E+18,"[{'screen_name': 'antmasiello', 'user_id': '544773325'}, {'screen_name': 'ericfisher', 'user_id': '168912732'}]",floods
60Johnnyp,johnnyp_60,1.11E+18,1.22E+18,/60Johnnyp/status/1214995001580670977,1/8/20 19:39,1578512356,Im hoping to fine some help i been living in a trailer full of Mold from the 2016 flood in south Louisiana. I been looking for help but can't fine any. Had a heart attack and heart surger i need to fine a Camper or a good used trailer please help if you can... Thank you.,1,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Im hoping to fine some help i been living in a trailer full of Mold from the 2016 <strong>flood</strong> in south <strong>Louisiana</strong>. I been looking for help but can't fine any. Had a heart attack and heart surger i <strong>need</strong> to fine a Camper or a good used trailer please help if you can... Thank you.</p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.21E+18,"[{'screen_name': 'TeamPulte', 'user_id': '1160492543701901312'}]",floods
NobodyKnewPod,Nobody Knew?,8.60E+17,1.21E+18,/NobodyKnewPod/status/1207488751749996544,12/19/19 2:32,1576722727,For a number of reasons the other types of insurance you listed do not make good parallels to health insurance and need not be administered by the govt. A much better parallel is flood insurance in Louisiana,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For a number of reasons the other types of insurance you listed do not make good parallels to health insurance and <strong>need</strong> not be administered by the govt. A much better parallel is <strong>flood</strong> insurance in <strong>Louisiana</strong></p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.21E+18,"[{'screen_name': 'keythweiss', 'user_id': '2696625427'}, {'screen_name': 'IndustrySkeptic', 'user_id': '1632132200'}, {'screen_name': 'Buncahn', 'user_id': '402980453'}]",floods
AltGifts4Change,Alternative Gifts International,97062816,1.08E+18,/AltGifts4Change/status/1084852226353496065,1/14/19 16:38,1547483900,Our Cause 28 in partnership with @IRTeams addresses the ongoing need to restore and rebuild areas affected by the Louisiana flood and Superstorm Sandy. Give a unique gift in honor of someone and help them rebuild: http://bit.ly/cause28 pic.twitter.com/RY0Pa3us4N,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our Cause 28 in partnership with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1377696374"" dir=""ltr"" href=""/IRTeams""><s>@</s><b>IRTeams</b></a> addresses the ongoing <strong>need</strong> to restore and rebuild areas affected by the <strong>Louisiana</strong> <strong>flood</strong> and Superstorm Sandy. Give a unique gift in honor of someone and help them rebuild: <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/cause28"" dir=""ltr"" href=""https://t.co/9u2m9zEUGD"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/cause28""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/cause28</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RY0Pa3us4N"">pic.twitter.com/RY0Pa3us4N</a></p>",['http://bit.ly/cause28'],[],TRUE,['https://pbs.twimg.com/media/Dw4rWGrU0AcFRL6.jpg'],,1,2,0,FALSE,FALSE,,[],floods
beauxbeautyblog,Beaux Beauty (Renee),3315467629,1.08E+18,/beauxbeautyblog/status/1084344616487436288,1/13/19 7:01,1547362877,"We used to grow it, then the Louisiana floods happened . Need to plant again.",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We used to grow it, then the <strong>Louisiana</strong> <strong>floods</strong> happened <img alt=""☹"" aria-label=""Emoji: Frowning face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2639.png"" title=""Frowning face""/>. <strong>Need</strong> to plant again.</p>",[],[],FALSE,[],,1,0,1,TRUE,TRUE,1.08E+18,"[{'screen_name': 'odetomedusa', 'user_id': '949416462963302401'}, {'screen_name': 'Mudaship39', 'user_id': '2323052250'}]",floods
audubon3514,audubon,1.02E+18,1.08E+18,/audubon3514/status/1078563817230123008,12/28/18 8:10,1545984627,"In states like Louisiana, if you're trying to close on a home during the holidays and need flood insurance, you'll have to wait to close because FEMA isn't open during the govt shutdown. Thanks President Trump!",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">In states like <strong>Louisiana</strong>, if you're trying to close on a home during the holidays and <strong>need</strong> <strong>flood</strong> insurance, you'll have to wait to close because FEMA isn't open during the govt shutdown. Thanks President Trump!</p>",[],[],FALSE,[],,8,1,0,FALSE,TRUE,1.08E+18,"[{'screen_name': 'MSNBC', 'user_id': '2836421'}]",floods
archivists_org,Soc Amer Archivists,44433400,1.18E+18,/archivists_org/status/1176564305514422273,9/24/19 18:29,1569349764,"Tropical Storm Imelda has left immense flood waters, primarily affecting the Gulf coast, primarily in the Houston/Galveston area and western Louisiana. Please share these resources with any cultural institutions that may need help recovering: http://ow.ly/rwim30pBikK ",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tropical Storm Imelda has left immense <strong>flood</strong> waters, primarily affecting the Gulf coast, primarily in the Houston/Galveston area and western <strong>Louisiana</strong>. Please share these resources with any cultural institutions that may <strong>need</strong> help recovering: <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/rwim30pBikK"" dir=""ltr"" href=""https://t.co/k7YiO7Tqcz"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/rwim30pBikK""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/rwim30pBikK</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://ow.ly/rwim30pBikK'],[],FALSE,[],,0,3,0,FALSE,FALSE,,[],floods
4ever_objective,Free,2833572370,1.17E+18,/4ever_objective/status/1170878513651552256,9/9/19 1:56,1567994166,"Anything would be appreciated! Storm & flood victims always come to mind. Wish I knew you when travelling philanthropy was possible & didn't need money myself.  Filled a boat with supplies, towed it to Louisiana. Did search & rescue of Katrina victims. Gave the boat to Red Cross.",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Anything would be appreciated! Storm &amp; <strong>flood</strong> victims always come to mind. Wish I knew you when travelling philanthropy was possible &amp; didn't <strong>need</strong> money myself.  Filled a boat with supplies, towed it to <strong>Louisiana</strong>. Did search &amp; rescue of Katrina victims. Gave the boat to Red Cross.</p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.17E+18,"[{'screen_name': 'pulte', 'user_id': '25029495'}]",floods
MelonyP92619907,Melony Phillips,1.16E+18,1.17E+18,/MelonyP92619907/status/1169104939341307904,9/4/19 4:28,1567571313,"Hi Bill, I pray that I will be the recipient of this money. My brother-in-law who is a disabled veteran with diabetes and my sister are in great need. Their home was damaged in the flood of 2016 in Baton Rouge Louisiana and still has not been repaired.",1,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi Bill, I pray that I will be the recipient of this money. My brother-in-law who is a disabled veteran with diabetes and my sister are in great <strong>need</strong>. Their home was damaged in the <strong>flood</strong> of 2016 in Baton Rouge <strong>Louisiana</strong> and still has not been repaired.</p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.16E+18,"[{'screen_name': 'pulte', 'user_id': '25029495'}]",floods
lalauraru777,@lalauraru777,2241717492,1.17E+18,/lalauraru777/status/1168758253406380033,9/3/19 5:30,1567488656,"Louisiana flood. He did fundraise but many articles of him golfing while homes destroyed. I think they need an outlet, regardless of optics. Trump gets the criticism",0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Louisiana</strong> <strong>flood</strong>. He did fundraise but many articles of him golfing while homes destroyed. I think they <strong>need</strong> an outlet, regardless of optics. Trump gets the criticism</p>",[],[],FALSE,[],,5,0,1,TRUE,TRUE,1.17E+18,"[{'screen_name': 'volleypc', 'user_id': '17529457'}, {'screen_name': 'o1d_dude', 'user_id': '40189359'}, {'screen_name': 'RepBrendanBoyle', 'user_id': '231108733'}]",floods
