,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
73,B_Will45,Ben Williams,296038603,1037001829714944001,/B_Will45/status/1037001829714944001,2018-09-04 15:37:57,1536075477,"Keywords here are ""through the weekend."" Going to need to watch this one. Long way to go. #hurricaneflorence #tropicshttps://twitter.com/NHC_Atlantic/status/1036999401569497089 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Keywords here are ""through the weekend."" Going to need to watch this one. Long way to go. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hurricaneflorence?src=hash""><s>#</s><b><strong>hurricaneflorence</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/tropics?src=hash""><s>#</s><b>tropics</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/NHC_Atlantic/status/1036999401569497089"" dir=""ltr"" href=""https://t.co/dpOyebwQVc"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/NHC_Atlantic/status/1036999401569497089""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/NHC_Atlantic/s</span><span class=""invisible"">tatus/1036999401569497089</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/NHC_Atlantic/status/1036999401569497089'],"['hurricaneflorence', 'tropicshttps']",False,[],,0,2,0,False,False,,[]
102,_j0nath0n,Jonathon,355192301,1036612328178020355,/_j0nath0n/status/1036612328178020355,2018-09-03 13:50:13,1535982613,"Granted it's still 10 days out, but if that #Euromodel ends up right everyone on the east coast will need to pay attention to #HurricaneFlorence. Could be a direct hit followed by a turn right up the coast.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Granted it's still 10 days out, but if that <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Euromodel?src=hash""><s>#</s><b>Euromodel</b></a> ends up right everyone on the east coast will need to pay attention to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a>. Could be a direct hit followed by a turn right up the coast.</p>",[],"['Euromodel', 'HurricaneFlorence']",False,[],,1,0,0,False,False,,[]
163,910323TREE,Schnell® Tree Service,4094377288,1037453149454454784,/910323TREE/status/1037453149454454784,2018-09-05 21:31:20,1536183080,Don't wait before it's too late! Think Schnell for your tree needs! #HurricaneFlorence http://trackthetropics.com/florence/  via @TrackTheTropics,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Don't wait before it's too late! Think Schnell for your tree needs! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://trackthetropics.com/florence/"" dir=""ltr"" href=""https://t.co/kVUBkZsWb3"" rel=""nofollow noopener"" target=""_blank"" title=""http://trackthetropics.com/florence/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">trackthetropics.com/florence/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via @TrackTheTropics</p>",['http://trackthetropics.com/florence/'],['HurricaneFlorence'],False,[],,0,0,0,False,False,,[]
169,BobbiStorm,BobbiStorm,18171434,1037450504316612608,/BobbiStorm/status/1037450504316612608,2018-09-05 21:20:49,1536182449,"http://www.bobbistorm.com  updated blog... new thoughts at 5 PM w CAT 4 #HurricaneFlorence far out at sea still but some models bring her towards East Coast. What should you do? Watch, pay attn, watch - wait until we know for sure.  NHC is on it. #BERMUDA seriously needs to watch.pic.twitter.com/XGyus2nAn4","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-timeline-link"" data-expanded-url=""http://www.bobbistorm.com"" dir=""ltr"" href=""https://t.co/XLVVLmtkcS"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.bobbistorm.com""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">bobbistorm.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> updated blog... new thoughts at 5 PM w CAT 4 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> far out at sea still but some models bring her towards East Coast. What should you do? Watch, pay attn, watch - wait until we know for sure.  NHC is on it. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BERMUDA?src=hash""><s>#</s><b>BERMUDA</b></a> seriously needs to watch.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/XGyus2nAn4"">pic.twitter.com/XGyus2nAn4</a></p>",['http://www.bobbistorm.com'],"['HurricaneFlorence', 'BERMUDA']",True,"['https://pbs.twimg.com/media/DmXDIWfX0AACBjg.jpg', 'https://pbs.twimg.com/media/DmXDamqXgAITlI5.jpg', 'https://pbs.twimg.com/media/DmXDankWwAM85kJ.jpg', 'https://pbs.twimg.com/media/DmXDkACW4AA5lj2.jpg']",,10,2,0,False,False,,[]
180,HuffmanSevereWx,Huffman Weather Service,928776966848860161,1037445544501817345,/HuffmanSevereWx/status/1037445544501817345,2018-09-05 21:01:07,1536181267,"#HurricaneFlorence is now a Category 4 major hurricane. The East Coast needs to pay close attention to this storm. This is no game, this is the time to get serious and focus on what you can do. 

We will continue... https://www.facebook.com/HuffmanSevereWX/posts/917254661795879 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> is now a Category 4 major hurricane. The East Coast needs to pay close attention to this storm. This is no game, this is the time to get serious and focus on what you can do. 

We will continue... <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/HuffmanSevereWX/posts/917254661795879"" dir=""ltr"" href=""https://t.co/UOgDLQSLUE"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/HuffmanSevereWX/posts/917254661795879""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/HuffmanSevereW</span><span class=""invisible"">X/posts/917254661795879</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.facebook.com/HuffmanSevereWX/posts/917254661795879'],['HurricaneFlorence'],False,[],,0,0,0,False,False,,[]
182,RogerSimmons,Roger Simmons,7933492,1037444177884311565,/RogerSimmons/status/1037444177884311565,2018-09-05 20:55:41,1536180941,Category 4 #HurricaneFlorence among 3 tropical systems #Florida residents need to monitor http://www.orlandosentinel.com/weather/hurricane/os-hurricane-florence-tropical-systems-florida-20180905-story.html …pic.twitter.com/i0vWOebPIC,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Category 4 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> among 3 tropical systems <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Florida?src=hash""><s>#</s><b>Florida</b></a> residents need to monitor <a class=""twitter-timeline-link"" data-expanded-url=""http://www.orlandosentinel.com/weather/hurricane/os-hurricane-florence-tropical-systems-florida-20180905-story.html"" dir=""ltr"" href=""https://t.co/cqA47LpTcu"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.orlandosentinel.com/weather/hurricane/os-hurricane-florence-tropical-systems-florida-20180905-story.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">orlandosentinel.com/weather/hurric</span><span class=""invisible"">ane/os-hurricane-florence-tropical-systems-florida-20180905-story.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/i0vWOebPIC"">pic.twitter.com/i0vWOebPIC</a></p>",['http://www.orlandosentinel.com/weather/hurricane/os-hurricane-florence-tropical-systems-florida-20180905-story.html'],"['HurricaneFlorence', 'Florida']",True,['https://pbs.twimg.com/media/DmW9-EcX4AAe7as.jpg'],,0,0,0,False,False,,[]
185,JeffBaskinFOX16,Jeff Baskin,26194429,1037443610424340498,/JeffBaskinFOX16/status/1037443610424340498,2018-09-05 20:53:26,1536180806,"Meanwhile in the open Atlantic, Florence becomes a category 4 hurricane. East Coast may need to pay attention to this for later next week #HurricaneFlorence pic.twitter.com/vEBxWy6qR0","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Meanwhile in the open Atlantic, Florence becomes a category 4 hurricane. East Coast may need to pay attention to this for later next week <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vEBxWy6qR0"">pic.twitter.com/vEBxWy6qR0</a></p>",[],['HurricaneFlorence'],True,['https://pbs.twimg.com/media/DmW9PioUYAAjQnS.jpg'],,1,0,0,False,False,,[]
192,jbuckb,Jason Bennett,25302746,1037442102685323265,/jbuckb/status/1037442102685323265,2018-09-05 20:47:26,1536180446,"East Coast needs to monitor #Florence ~ if #Sandy taught us anything, it's better to prepare for the worst. #HurricaneFlorence https://twitter.com/RyanMaue/status/1037263088846815232 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">East Coast needs to monitor <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Florence?src=hash""><s>#</s><b>Florence</b></a> ~ if <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sandy?src=hash""><s>#</s><b>Sandy</b></a> taught us anything, it's better to prepare for the worst. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/RyanMaue/status/1037263088846815232"" dir=""ltr"" href=""https://t.co/dVknqxP8LV"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/RyanMaue/status/1037263088846815232""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/RyanMaue/statu</span><span class=""invisible"">s/1037263088846815232</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/RyanMaue/status/1037263088846815232'],"['Florence', 'Sandy', 'HurricaneFlorence']",False,[],,0,0,0,False,False,,[]
194,Weather_Nathan,Weather Updates,792099690103840769,1037441883507589121,/Weather_Nathan/status/1037441883507589121,2018-09-05 20:46:34,1536180394,#HurricaneFlorence is now a cat 4 hurricane. It’s expected to weaken a little over then next day or two.Likely down to a cat 2 before strengthening once agin back to a major hurricane by the weekend.Bermuda needs to watch this very closely as they are currently in the firing line pic.twitter.com/S1C9Ia3pa3,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> is now a cat 4 hurricane. It’s expected to weaken a little over then next day or two.Likely down to a cat 2 before strengthening once agin back to a major hurricane by the weekend.Bermuda needs to watch this very closely as they are currently in the firing line <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/S1C9Ia3pa3"">pic.twitter.com/S1C9Ia3pa3</a></p>",[],['HurricaneFlorence'],True,"['https://pbs.twimg.com/media/DmW749aXoAA-D00.jpg', 'https://pbs.twimg.com/media/DmW749dXcAQm68_.jpg']",,5,3,0,False,False,,[]
198,HuffmanSevereWx,Huffman Weather Service,928776966848860161,1037440984378994688,/HuffmanSevereWx/status/1037440984378994688,2018-09-05 20:43:00,1536180180,"#Florence is now a Category 4 #Hurricane. #NorthCarolina landfall is not completely out of the question, although unlikely (at this time). 

#EastCoast needs to pay attention closely. 

#HuffmanSevereWX #ncwx #cltwx #HurricaneFlorence @jdhuffmanwx","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Florence?src=hash""><s>#</s><b>Florence</b></a> is now a Category 4 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hurricane?src=hash""><s>#</s><b>Hurricane</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NorthCarolina?src=hash""><s>#</s><b>NorthCarolina</b></a> landfall is not completely out of the question, although unlikely (at this time). 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EastCoast?src=hash""><s>#</s><b>EastCoast</b></a> needs to pay attention closely. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HuffmanSevereWX?src=hash""><s>#</s><b>HuffmanSevereWX</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ncwx?src=hash""><s>#</s><b>ncwx</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cltwx?src=hash""><s>#</s><b>cltwx</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneFlorence?src=hash""><s>#</s><b><strong>HurricaneFlorence</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""922668738910007296"" dir=""ltr"" href=""/jdhuffmanwx""><s>@</s><b>jdhuffmanwx</b></a></p>",[],"['Florence', 'Hurricane', 'NorthCarolina', 'EastCoast', 'HuffmanSevereWX', 'ncwx', 'cltwx', 'HurricaneFlorence']",False,[],,0,0,0,False,False,,[]
