screen_name,username,user_id,tweet_id,timestamp,timestamp_epochs,text,requesting_help,disaster,languages,location
JoshuaBrunken,Joshua Brunken-,1485218402.0,1.166110513820029e+18,2019-08-26 22:09:46,1566857386.0,regarding aka i hopw it dont turn into i hope  and others in florida and georgia louisiana alabama mississippi stay well and be well,0.0,hurricane,en,"Omaha, Ne "
profraycaputo,ray caputo,100254463.0,1.1659497163891425e+18,2019-08-26 11:30:49,1566819049.0,our top stories on the summit wraps up today china says it wants to talk again about trade its the st day of classes for students including those at the new downtown campus and could soon be w fl in its path,0.0,hurricane,en,"Orlando, FL"
BD007Marky,Global Agenda,2358699408.0,1.1730221765319434e+18,2019-09-14 23:54:15,1568505255.0,new video by hurricane dorian predictictive programming in literature the invisible death by victor rousseau,0.0,hurricane,en,"Toronto, Ontario, Canada"
FBBC31093,Fellowship Bible Baptist Church,2611901610.0,1.173018076784337e+18,2019-09-14 23:37:57,1568504277.0,family youve already contributed so much for us to aid those who were affected by if you would like to aid us simply lay your contribution at the altar tomorrow at am we ask that you would refrain from sending clothes however  at fellowship bible baptist church,1.0,hurricane,en,"Warner Robins, GA"
RebuildChurchNC,Rebuild Fellowship Church,9.75109530429395e+17,1.1730170735738593e+18,2019-09-14 23:33:58,1568504038.0,the work continues hurricane dorian relief collection sunday  pm,0.0,hurricane,en,"Durham, NC"
RealMiBaWi,Michael Barthel,86606520.0,1.1729539132151276e+18,2019-09-14 19:22:59,1568488979.0,meet the cats who survived the bahamas hurricane now theyre in and need your help,1.0,hurricane,en,"Berlin, Germany"
MeyerLucasRE,MEYER LUCAS team at Compass | real estate • design,8.043819911142769e+17,1.1729074862502625e+18,2019-09-14 16:18:30,1568477910.0,have you been considering investing in hurricane impact windows or shutters after the recent hurricane weve broken down all of the pros and cons of each option in our latest post,0.0,hurricane,en,"Jupiter, FL"
taco_marine,TACO Marine,3432031330.0,1.1728971121215775e+18,2019-09-14 15:37:17,1568475437.0,additionally we are collecting new and gently used clothing which is being donated to,1.0,hurricane,en,"Miami, FL"
Goatys_News,GOATY'S NEWS (UK)🇬🇧,342772619.0,1.1728637094520996e+18,2019-09-14 13:24:33,1568467473.0,new storm to hit two weeks after,0.0,hurricane,en,Devon UK
Goatys_News,GOATY'S NEWS (UK)🇬🇧,342772619.0,1.1728637094520996e+18,2019-09-14 13:24:33,1568467473.0,new storm to hit two weeks after,0.0,hurricane,en,Devon UK
JoshX1993,Joshua Albarran,189942678.0,1.172862693134545e+18,2019-09-14 13:20:31,1568467231.0,good reporting extensively on rescue efforts in the bahamas after the devastation left by,0.0,hurricane,en,"New York, NY"
PivotalCoaching,Pivotal Coaching,8.210467880943002e+17,1.1728386755767747e+18,2019-09-14 11:45:05,1568461505.0,with the crazy weather we experienced on the east coast from we were so appreciative of the beautiful sunshine we had all week,0.0,hurricane,en,"Nova Scotia, Canada"
gagavuzz,mahir bıyıklı,243099225.0,1.1728258888215675e+18,2019-09-14 10:54:16,1568458456.0,tropical weather outlook nws national hurricane center miami fl am edt sat sep,0.0,hurricane,en,"Istanbul, Turkey"
RCN_DawgSoldier,RCN DawgSoldier🇨🇦,9.621472119530168e+17,1.1728147878703636e+18,2019-09-14 10:10:09,1568455809.0,sorry i havent be active works been busy since hit halifax but heres some motivation,0.0,hurricane,en,Canada
IAmChrisShorts,Chris Shorts,8.077157164848538e+17,1.1727157467592049e+18,2019-09-14 03:36:36,1568432196.0,why is it storming in atlanta i thought was long gone,0.0,hurricane,en,"Los Angeles, CA "
Harper334036,Trumpin' TEXT TRUMP TO 88022,7.602630905039502e+17,1.1672249646568284e+18,2019-08-29 23:58:12,1567123092.0,thank you president trump,0.0,hurricane,en,"Alexandria, VA"
breaknlinks,BL-News | English,1.0508048941338746e+18,1.1724000608495165e+18,2019-09-13 06:42:11,1568356931.0,bahamians look for loved ones as  missing after dorian,1.0,hurricane,en,Washington DC
NobodyKnewPod,Nobody Knew?,8.6e+17,1.21e+18,12/19/19 2:32,1576722727.0,for a number of reasons the other types of insurance you listed do not make good parallels to health insurance and need not be administered by the govt a much better parallel is flood insurance in louisiana,0.0,floods,en,"Portland, OR"
Williem60552109,Williemcdonald,9.78e+17,1.05e+18,10/22/18 18:49,1540234189.0,im a disabled veteran that lost everything in the flood here in louisiana in wife is also disabled everything we owned was paid for we had to replace our home and our now we have to start all over again we need about  to pay,1.0,floods,en,"Denham Springs, LA"
Williem60552109,Williemcdonald,9.78e+17,1.05e+18,10/18/18 13:36,1539869813.0,my wife and i are both disabled and need help to pay off our mobile home and our car that we had to get after the flood of here in louisiana my gofundme account williemcdonald com,1.0,floods,en,"Denham Springs, LA"
imconleyidk,conley 🦒,3591895876.0,1.11e+18,3/19/19 7:18,1552979905.0,don t move south i m from south louisiana and the reason everyone drives trucks isn t because it floods every time it rains but the roads are so bad you need the grown clearance because it would fuck up a small car the potholes fuck you so hard you call them daddy,0.0,floods,en,"Los Angeles, CA"
chakrabomb,Bomb🧘🏿‍♀️💣,127573281.0,1.13e+18,5/22/19 6:07,1558505276.0,i was mad about having a downstairs apartment because im in louisiana and it floods easy but now that its getting hot im so happy lol i dont need to turn on my ac for shit,0.0,floods,en,"Atlanta, GA"
Chris_LaVey_,Chris LaVey,2816547727.0,1.12e+18,4/18/19 15:24,1555601094.0,back in most of southeast louisiana was flooded it came out of nowhere ever since our weather channel seems to have developed some trauma as theyve been hyper vigilant about any storm system that rolls in hey news i dont need a flood warning every minutes chill,0.0,floods,en,"Louisiana, USA"
gmezz35,trace,427939109.0,1.14e+18,6/6/19 17:56,1559843814.0,imma need louisiana to stop i m too poor for flood insurance,0.0,floods,en,"Los Angeles, CA"
badmews,leiasbian,16746950.0,1.15e+18,7/13/19 16:15,1563034510.0,south louisiana if you are trapped in flood waters and need help call the cajun navy louisiana storm patrol at,0.0,floods,en,"Lafayette, Los Angeles, CA"
phillipkntsher,Phillipkntsher,1.04e+18,1.15e+18,7/12/19 12:14,1562933646.0,as a precaution or as they say to save your own life these warnings of that hurricane in the tropical advisories for those in the mississippi valley in louisiana rush preparations where they say that you need to evacuate do so the rains and floods could be extreme thank you,0.0,floods,en,United States
The_BoogsterB,EL-LOCO 😜♊️,2902144152.0,1.15e+18,7/12/19 11:01,1562929303.0,i just told someone sunday that i need to learn how to swim soon cuz floods were coming now look at louisiana smh,0.0,floods,en,Ohio
EddieeDaBosssss,EddieeDaBoss,9.73e+17,1.15e+18,7/12/19 5:14,1562908457.0,need prayers for all national guard units that have to work the flood in louisiana we have lives to but here to protect serve including myself have to leave out,1.0,floods,en,"Louisiana, USA"
