,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,CalFireNews,CAL FIRE NEWS,9667812,1209241954464272386,/CalFireNews/status/1209241954464272386,2019-12-23 22:38:43,1577140723,"I have 18 new followers from Malaysia , and more last week. See http://tweepsmap.com/!CalFireNews pic.twitter.com/wuIhcVnQpi","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I have 18 new followers from Malaysia <img alt=""🇲🇾"" aria-label=""Emoji: Flag of Malaysia"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1f2-1f1fe.png"" title=""Flag of Malaysia""/>, and more last week. See <a class=""twitter-timeline-link"" data-expanded-url=""http://tweepsmap.com/!CalFireNews"" dir=""ltr"" href=""https://t.co/tqUpS271rm"" rel=""nofollow noopener"" target=""_blank"" title=""http://tweepsmap.com/!CalFireNews""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tweepsmap.com/!CalFireNews</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wuIhcVnQpi"">pic.twitter.com/wuIhcVnQpi</a></p>",['http://tweepsmap.com/!CalFireNews'],[],True,['https://pbs.twimg.com/media/EMgXJirWoAA3OEt.jpg'],,1,0,0,False,False,,[]
1,CalFireNews,CAL FIRE NEWS,9667812,1209157549540413442,/CalFireNews/status/1209157549540413442,2019-12-23 17:03:19,1577120599,"Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb …pic.twitter.com/W1n3eCDBcp","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via <a class=""twitter-timeline-link"" data-expanded-url=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb"" dir=""ltr"" href=""https://t.co/RNO9Kp4I8J"" rel=""nofollow noopener"" target=""_blank"" title=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">sumall.com/thankyou?utm_s</span><span class=""invisible"">ource=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/W1n3eCDBcp"">pic.twitter.com/W1n3eCDBcp</a></p>",['https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb'],[],True,['https://pbs.twimg.com/media/EMfKYhYXsAIjISY.png'],,0,0,0,False,False,,[]
2,CalFireNews,CAL FIRE NEWS,9667812,1209157480137285632,/CalFireNews/status/1209157480137285632,2019-12-23 17:03:02,1577120582,"Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb …pic.twitter.com/eQeho9c21U","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via <a class=""twitter-timeline-link"" data-expanded-url=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb"" dir=""ltr"" href=""https://t.co/RNO9Kp4I8J"" rel=""nofollow noopener"" target=""_blank"" title=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">sumall.com/thankyou?utm_s</span><span class=""invisible"">ource=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/eQeho9c21U"">pic.twitter.com/eQeho9c21U</a></p>",['https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb'],[],True,['https://pbs.twimg.com/media/EMfKUc9WsAAMkzS.png'],,0,0,0,False,False,,[]
3,mizfoley1,mizfoley,1076846265655209986,1208885878883409920,/mizfoley1/status/1208885878883409920,2019-12-22 23:03:48,1577055828,Ditto,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Ditto</p>",[],[],False,[],,0,0,0,False,True,1207508280207011841,"[{'screen_name': 'DevinCow', 'user_id': '892275857779118080'}, {'screen_name': 'CalFireNews', 'user_id': '9667812'}, {'screen_name': 'realDonaldTrump', 'user_id': '25073877'}]"
4,kalopch,kalopch,11204262,1208839971764887552,/kalopch/status/1208839971764887552,2019-12-22 20:01:23,1577044883,pic.twitter.com/mbjXaKrfWT,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/mbjXaKrfWT"">pic.twitter.com/mbjXaKrfWT</a></p>",[],[],True,['https://pbs.twimg.com/media/EMapi9pWkAAUNz7.jpg'],,1,0,0,False,True,1208839862738141189,"[{'screen_name': 'AllanMargolin', 'user_id': '456865788'}, {'screen_name': 'Rob_Rogers', 'user_id': '60932386'}]"
5,AllanMargolin,Allan Margolin,456865788,1208839862738141189,/AllanMargolin/status/1208839862738141189,2019-12-22 20:00:57,1577044857,"Disreputable Donald REALLY Hates The Sweater He Got For Xmas This Year via @Rob_Rogers
@TeresaMac2009 @Tennesseine @Eykis @aravosis @DrSmith1966 @RutherfordRocks @aedmondsauthor @old_osc @TrinityResists @The_News_DIVA @CalFireNews @ShiCooks @Monaheart1229 @TheRynheart @Helenhspic.twitter.com/MNv9wmJAJj","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Disreputable Donald REALLY Hates The Sweater He Got For Xmas This Year via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""60932386"" dir=""ltr"" href=""/Rob_Rogers""><s>@</s><b>Rob_Rogers</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3303025153"" dir=""ltr"" href=""/TeresaMac2009""><s>@</s><b>TeresaMac2009</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""220863206"" dir=""ltr"" href=""/Tennesseine""><s>@</s><b>Tennesseine</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19038210"" dir=""ltr"" href=""/Eykis""><s>@</s><b>Eykis</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14146966"" dir=""ltr"" href=""/aravosis""><s>@</s><b>aravosis</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""245207295"" dir=""ltr"" href=""/DrSmith1966""><s>@</s><b>DrSmith1966</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""927751333247111168"" dir=""ltr"" href=""/RutherfordRocks""><s>@</s><b>RutherfordRocks</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1663687578"" dir=""ltr"" href=""/aedmondsauthor""><s>@</s><b>aedmondsauthor</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""195553045"" dir=""ltr"" href=""/old_osc""><s>@</s><b>old_osc</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""893316758987128833"" dir=""ltr"" href=""/TrinityResists""><s>@</s><b>TrinityResists</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15501305"" dir=""ltr"" href=""/The_News_DIVA""><s>@</s><b>The_News_DIVA</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""9667812"" dir=""ltr"" href=""/CalFireNews""><s>@</s><b><strong>CalFireNews</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16476911"" dir=""ltr"" href=""/ShiCooks""><s>@</s><b>ShiCooks</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3493563087"" dir=""ltr"" href=""/Monaheart1229""><s>@</s><b>Monaheart1229</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""850765289641963522"" dir=""ltr"" href=""/TheRynheart""><s>@</s><b>TheRynheart</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17490707"" dir=""ltr"" href=""/Helenhs""><s>@</s><b>Helenhs</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MNv9wmJAJj"">pic.twitter.com/MNv9wmJAJj</a></p>",[],[],True,['https://pbs.twimg.com/media/EMapchuXUAAE7mK.jpg'],,9,9,1,True,False,,[]
6,CalFireNews,CAL FIRE NEWS,9667812,1209241954464272386,/CalFireNews/status/1209241954464272386,2019-12-23 22:38:43,1577140723,"I have 18 new followers from Malaysia , and more last week. See http://tweepsmap.com/!CalFireNews pic.twitter.com/wuIhcVnQpi","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I have 18 new followers from Malaysia <img alt=""🇲🇾"" aria-label=""Emoji: Flag of Malaysia"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1f2-1f1fe.png"" title=""Flag of Malaysia""/>, and more last week. See <a class=""twitter-timeline-link"" data-expanded-url=""http://tweepsmap.com/!CalFireNews"" dir=""ltr"" href=""https://t.co/tqUpS271rm"" rel=""nofollow noopener"" target=""_blank"" title=""http://tweepsmap.com/!CalFireNews""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tweepsmap.com/!CalFireNews</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wuIhcVnQpi"">pic.twitter.com/wuIhcVnQpi</a></p>",['http://tweepsmap.com/!CalFireNews'],[],True,['https://pbs.twimg.com/media/EMgXJirWoAA3OEt.jpg'],,1,0,0,False,False,,[]
7,CalFireNews,CAL FIRE NEWS,9667812,1209157549540413442,/CalFireNews/status/1209157549540413442,2019-12-23 17:03:19,1577120599,"Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb …pic.twitter.com/W1n3eCDBcp","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via <a class=""twitter-timeline-link"" data-expanded-url=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb"" dir=""ltr"" href=""https://t.co/RNO9Kp4I8J"" rel=""nofollow noopener"" target=""_blank"" title=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">sumall.com/thankyou?utm_s</span><span class=""invisible"">ource=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/W1n3eCDBcp"">pic.twitter.com/W1n3eCDBcp</a></p>",['https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb'],[],True,['https://pbs.twimg.com/media/EMfKYhYXsAIjISY.png'],,0,0,0,False,False,,[]
8,CalFireNews,CAL FIRE NEWS,9667812,1209157480137285632,/CalFireNews/status/1209157480137285632,2019-12-23 17:03:02,1577120582,"Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb …pic.twitter.com/eQeho9c21U","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our biggest fans this week: MarionStrstrk, DrRevo, adamsken. Thank you! via <a class=""twitter-timeline-link"" data-expanded-url=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb"" dir=""ltr"" href=""https://t.co/RNO9Kp4I8J"" rel=""nofollow noopener"" target=""_blank"" title=""https://sumall.com/thankyou?utm_source=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">sumall.com/thankyou?utm_s</span><span class=""invisible"">ource=twitter&amp;utm_medium=publishing&amp;utm_campaign=thank_you_tweet&amp;utm_content=text_and_media&amp;utm_term=c882cf9f635e929c22407dbb</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/eQeho9c21U"">pic.twitter.com/eQeho9c21U</a></p>",['https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=c882cf9f635e929c22407dbb'],[],True,['https://pbs.twimg.com/media/EMfKUc9WsAAMkzS.png'],,0,0,0,False,False,,[]
9,mizfoley1,mizfoley,1076846265655209986,1208885878883409920,/mizfoley1/status/1208885878883409920,2019-12-22 23:03:48,1577055828,Ditto,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Ditto</p>",[],[],False,[],,0,0,0,False,True,1207508280207011841,"[{'screen_name': 'DevinCow', 'user_id': '892275857779118080'}, {'screen_name': 'CalFireNews', 'user_id': '9667812'}, {'screen_name': 'realDonaldTrump', 'user_id': '25073877'}]"
