,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,BulletTrainEkuN,BrainTecBRAINEFFECTSSkynetsFramedTHIEVESET,1200825267842732032,1200827107250593792,/BulletTrainEkuN/status/1200827107250593792,2019-11-30 17:21:07,1575134467,@CountyofSonoma yawn,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a> yawn</p>",[],[],False,[],,0,0,0,False,False,,[]
1,NorCalCrush,Team CRUSH ✝️ 🇺🇸,264934281,1200552406662045696,/NorCalCrush/status/1200552406662045696,2019-11-29 23:09:33,1575068973,"Leave that dam intact! We need MORE water storage, not LESS!!! @CountyofSonoma

Could Lake Pillsbury’s dam come down to preserve North Coast water transfer? https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leave that dam intact! We need MORE water storage, not LESS!!! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a>

Could Lake Pillsbury’s dam come down to preserve North Coast water transfer? <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power"" dir=""ltr"" href=""https://t.co/5Cve7x62Wm"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pressdemocrat.com/news/10383035-</span><span class=""invisible"">181/future-of-potter-valley-power</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power'],[],False,[],,0,1,0,False,False,,[]
2,CSAC_Counties,CA Assoc of Counties,48817182,1200541210445832194,/CSAC_Counties/status/1200541210445832194,2019-11-29 22:25:04,1575066304,"Heavy rains forecast for this weekend in Norcal could trigger debris flows, rockslides and flash flooding in the areas burned by the #KincadeFire in @CountyofSonoma. http://bit.ly/2rHx7A0  h/t @RyanSabalow #wildfires #storms #weather","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Heavy rains forecast for this weekend in Norcal could trigger debris flows, rockslides and flash flooding in the areas burned by the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a>. <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2rHx7A0"" dir=""ltr"" href=""https://t.co/K8aIDW9KRy"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2rHx7A0""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2rHx7A0</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> h/t <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""573775393"" dir=""ltr"" href=""/RyanSabalow""><s>@</s><b>RyanSabalow</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildfires?src=hash""><s>#</s><b>wildfires</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/storms?src=hash""><s>#</s><b>storms</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/weather?src=hash""><s>#</s><b>weather</b></a></p>",['http://bit.ly/2rHx7A0'],"['KincadeFire', 'wildfires', 'storms', 'weather']",False,[],,3,2,0,False,False,,[]
3,1000livesaday,PulsePointActivation,474368505,1200239723303694336,/1000livesaday/status/1200239723303694336,2019-11-29 02:27:04,1574994424,CPR Activation for @COUNTYOFSONOMA at 06:25 PM PST (HWY 128 ); 1 citizen responder just notified. #PulsePointConnected,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CPR Activation for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>COUNTYOFSONOMA</strong></b></a> at 06:25 PM PST (HWY 128 ); 1 citizen responder just notified. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PulsePointConnected?src=hash""><s>#</s><b>PulsePointConnected</b></a></p>",[],['PulsePointConnected'],False,[],,0,0,0,False,False,,[]
4,BulletTrainEkuN,BrainTecBRAINEFFECTSSkynetsFramedTHIEVESET,1200825267842732032,1200827107250593792,/BulletTrainEkuN/status/1200827107250593792,2019-11-30 17:21:07,1575134467,@CountyofSonoma yawn,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a> yawn</p>",[],[],False,[],,0,0,0,False,False,,[]
5,NorCalCrush,Team CRUSH ✝️ 🇺🇸,264934281,1200552406662045696,/NorCalCrush/status/1200552406662045696,2019-11-29 23:09:33,1575068973,"Leave that dam intact! We need MORE water storage, not LESS!!! @CountyofSonoma

Could Lake Pillsbury’s dam come down to preserve North Coast water transfer? https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leave that dam intact! We need MORE water storage, not LESS!!! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a>

Could Lake Pillsbury’s dam come down to preserve North Coast water transfer? <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power"" dir=""ltr"" href=""https://t.co/5Cve7x62Wm"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pressdemocrat.com/news/10383035-</span><span class=""invisible"">181/future-of-potter-valley-power</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.pressdemocrat.com/news/10383035-181/future-of-potter-valley-power'],[],False,[],,0,1,0,False,False,,[]
6,CSAC_Counties,CA Assoc of Counties,48817182,1200541210445832194,/CSAC_Counties/status/1200541210445832194,2019-11-29 22:25:04,1575066304,"Heavy rains forecast for this weekend in Norcal could trigger debris flows, rockslides and flash flooding in the areas burned by the #KincadeFire in @CountyofSonoma. http://bit.ly/2rHx7A0  h/t @RyanSabalow #wildfires #storms #weather","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Heavy rains forecast for this weekend in Norcal could trigger debris flows, rockslides and flash flooding in the areas burned by the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a>. <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2rHx7A0"" dir=""ltr"" href=""https://t.co/K8aIDW9KRy"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2rHx7A0""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2rHx7A0</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> h/t <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""573775393"" dir=""ltr"" href=""/RyanSabalow""><s>@</s><b>RyanSabalow</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildfires?src=hash""><s>#</s><b>wildfires</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/storms?src=hash""><s>#</s><b>storms</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/weather?src=hash""><s>#</s><b>weather</b></a></p>",['http://bit.ly/2rHx7A0'],"['KincadeFire', 'wildfires', 'storms', 'weather']",False,[],,3,2,0,False,False,,[]
7,1000livesaday,PulsePointActivation,474368505,1200239723303694336,/1000livesaday/status/1200239723303694336,2019-11-29 02:27:04,1574994424,CPR Activation for @COUNTYOFSONOMA at 06:25 PM PST (HWY 128 ); 1 citizen responder just notified. #PulsePointConnected,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CPR Activation for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>COUNTYOFSONOMA</strong></b></a> at 06:25 PM PST (HWY 128 ); 1 citizen responder just notified. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PulsePointConnected?src=hash""><s>#</s><b>PulsePointConnected</b></a></p>",[],['PulsePointConnected'],False,[],,0,0,0,False,False,,[]
8,Cal_OES,Cal OES,29467516,1199083426978025472,/Cal_OES/status/1199083426978025472,2019-11-25 21:52:21,1574718741,"News: One Month Left to Apply for SBA Disaster Loans (Winter Storms and Flooding in Sonoma County). For the full press release from the U.S. Small Business Administration, visit: https://bit.ly/2KSEiMI  #SonomaCounty @CountyofSonoma","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">News: One Month Left to Apply for SBA Disaster Loans (Winter Storms and Flooding in Sonoma County). For the full press release from the U.S. Small Business Administration, visit: <a class=""twitter-timeline-link"" data-expanded-url=""https://bit.ly/2KSEiMI"" dir=""ltr"" href=""https://t.co/iqAiVvZkGD"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2KSEiMI""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2KSEiMI</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SonomaCounty?src=hash""><s>#</s><b>SonomaCounty</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a></p>",['https://bit.ly/2KSEiMI'],['SonomaCounty'],False,[],,1,3,0,False,False,,[]
9,CSAC_Counties,CA Assoc of Counties,48817182,1199046367601156099,/CSAC_Counties/status/1199046367601156099,2019-11-25 19:25:05,1574709905,COPE: Citizens Organized to Prepare for Emergencies. That's what's happening in #SonomaCounty as residents are taking charge in their neighborhoods. http://bit.ly/2OHrYA6  @CountyofSonoma h/t @tylersilvy #wildfires,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">COPE: Citizens Organized to Prepare for Emergencies. That's what's happening in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SonomaCounty?src=hash""><s>#</s><b>SonomaCounty</b></a> as residents are taking charge in their neighborhoods. <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2OHrYA6"" dir=""ltr"" href=""https://t.co/nrWOKfklwZ"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2OHrYA6""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2OHrYA6</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54319670"" dir=""ltr"" href=""/CountyofSonoma""><s>@</s><b><strong>CountyofSonoma</strong></b></a> h/t <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""189969846"" dir=""ltr"" href=""/tylersilvy""><s>@</s><b>tylersilvy</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildfires?src=hash""><s>#</s><b>wildfires</b></a></p>",['http://bit.ly/2OHrYA6'],"['SonomaCounty', 'wildfires']",False,[],,1,1,0,False,False,,[]
