,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,producerdeb,"Debbie Durkin, Producer",54387096,947254059320221696,/producerdeb/status/947254059320221696,2017-12-30 23:52:21,1514677941,Love this! #Firefighters #Jammin #ThomasFire #StressBuster https://twitter.com/KEYTNC3JohnP/status/943623239175102464 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Love this! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Firefighters?src=hash""><s>#</s><b>Firefighters</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Jammin?src=hash""><s>#</s><b>Jammin</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ThomasFire?src=hash""><s>#</s><b><strong>ThomasFire</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StressBuster?src=hash""><s>#</s><b>StressBuster</b></a> <img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""🧡"" aria-label=""Emoji: Orange heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f9e1.png"" title=""Orange heart""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/KEYTNC3JohnP/status/943623239175102464"" dir=""ltr"" href=""https://t.co/EUonc4Jexs"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/KEYTNC3JohnP/status/943623239175102464""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/KEYTNC3JohnP/s</span><span class=""invisible"">tatus/943623239175102464</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",'https://twitter.com/KEYTNC3JohnP/status/943623239175102464',FirefightersJamminThomasFireStressBuster,False,,,0,0,0,False,False,,[]
1,_Santa_Barbara,Santa Barbara Patriot News,276861987,947249832455892993,/_Santa_Barbara/status/947249832455892993,2017-12-30 23:35:33,1514676933,Red Cross Issuing First Payments From Thomas Fire Fund http://dlvr.it/Q8G6Fp ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Red Cross Issuing First Payments From <strong>Thomas Fire</strong> Fund <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://dlvr.it/Q8G6Fp"" dir=""ltr"" href=""https://t.co/kxriW2GFeE"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/Q8G6Fp""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/Q8G6Fp</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'http://dlvr.it/Q8G6Fp',,False,,,0,0,0,False,False,,[]
2,KTLA,KTLA,10252962,947249714944249857,/KTLA/status/947249714944249857,2017-12-30 23:35:05,1514676905,Scientists Look for Survivors After Thomas Fire Scorches Condor Sanctuary in Los Padres National Forest http://bit.ly/2DDgRAZ pic.twitter.com/ZfzoMb0y6X,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Scientists Look for Survivors After <strong>Thomas Fire</strong> Scorches Condor Sanctuary in Los Padres National Forest <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2DDgRAZ"" dir=""ltr"" href=""https://t.co/aULRDURRsh"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2DDgRAZ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2DDgRAZ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZfzoMb0y6X"">pic.twitter.com/ZfzoMb0y6X</a></p>",'http://bit.ly/2DDgRAZ',,True,'https://pbs.twimg.com/media/DSVOmF2XUAAuQI3.jpg',,17,5,0,False,False,,[]
3,loudlabsnews,LOUDLABS NEWS,4076495952,947249450136817664,/loudlabsnews/status/947249450136817664,2017-12-30 23:34:02,1514676842,Thomas Fire / Santa Paula RAW FOOTAGE: http://youtu.be/QwsXyPPpets?a  via @YouTube,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Thomas Fire</strong> / Santa Paula RAW FOOTAGE: <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/QwsXyPPpets?a"" dir=""ltr"" href=""https://t.co/wKsewaJHNV"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/QwsXyPPpets?a""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/QwsXyPPpets?a</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a></p>",'http://youtu.be/QwsXyPPpets?a',,False,,,1,0,0,False,False,,[]
4,mrogers_VCS,Michelle Rogers,768950805835706368,947248837529182209,/mrogers_VCS/status/947248837529182209,2017-12-30 23:31:36,1514676696,"Warnings about #ThomasFire were not posted properly or quickly in Spanish, advocacy groups say. 
http://www.vcstar.com/story/news/2017/12/30/warnings-spanish-speakers-fall-short-fire-advocates-say/971159001/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Warnings about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ThomasFire?src=hash""><s>#</s><b><strong>ThomasFire</strong></b></a> were not posted properly or quickly in Spanish, advocacy groups say. 
<a class=""twitter-timeline-link"" data-expanded-url=""http://www.vcstar.com/story/news/2017/12/30/warnings-spanish-speakers-fall-short-fire-advocates-say/971159001/"" dir=""ltr"" href=""https://t.co/uNo8QcHPvM"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.vcstar.com/story/news/2017/12/30/warnings-spanish-speakers-fall-short-fire-advocates-say/971159001/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">vcstar.com/story/news/201</span><span class=""invisible"">7/12/30/warnings-spanish-speakers-fall-short-fire-advocates-say/971159001/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",'http://www.vcstar.com/story/news/2017/12/30/warnings-spanish-speakers-fall-short-fire-advocates-say/971159001/',ThomasFire,False,,,0,2,0,False,False,,[]
5,unhealthytruth,Erin Elizabeth Health Nut News,18093097,947248478136107008,/unhealthytruth/status/947248478136107008,2017-12-30 23:30:10,1514676610,The Thomas Fire (the biggest fire in the state's history) is still burning in California...do you believe this... https://fb.me/8hlnZniV5 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <strong>Thomas Fire</strong> (the biggest fire in the state's history) is still burning in California...do you believe this... <a class=""twitter-timeline-link"" data-expanded-url=""https://fb.me/8hlnZniV5"" dir=""ltr"" href=""https://t.co/hrg5zz4PfO"" rel=""nofollow noopener"" target=""_blank"" title=""https://fb.me/8hlnZniV5""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">fb.me/8hlnZniV5</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'https://fb.me/8hlnZniV5',,False,,,0,1,0,False,False,,[]
6,bonuschief,Cobie Wheelahan,701035069478146048,947243475749269509,/bonuschief/status/947243475749269509,2017-12-30 23:10:18,1514675418,Scientists Look for Survivors After Thomas Fire Scorches Condor Sanctuary in Los Padres National ... http://ift.tt/2q3YRxO ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Scientists Look for Survivors After <strong>Thomas Fire</strong> Scorches Condor Sanctuary in Los Padres National ... <a class=""twitter-timeline-link"" data-expanded-url=""http://ift.tt/2q3YRxO"" dir=""ltr"" href=""https://t.co/o2pwxdqPpW"" rel=""nofollow noopener"" target=""_blank"" title=""http://ift.tt/2q3YRxO""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ift.tt/2q3YRxO</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'http://ift.tt/2q3YRxO',,False,,,0,0,0,False,False,,[]
7,KaceyDrescher,Kacey Drescher,2651773292,947242166107041792,/KaceyDrescher/status/947242166107041792,2017-12-30 23:05:05,1514675105,Businesses are still feeling the heat from the #ThomasFire but @SBCity is open for business http://bit.ly/2DAN8Zi ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Businesses are still feeling the heat from the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ThomasFire?src=hash""><s>#</s><b><strong>ThomasFire</strong></b></a> but <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""42437612"" dir=""ltr"" href=""/SBCity""><s>@</s><b>SBCity</b></a> is open for business <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2DAN8Zi"" dir=""ltr"" href=""https://t.co/fAisfBKaaZ"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2DAN8Zi""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2DAN8Zi</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'http://bit.ly/2DAN8Zi',ThomasFire,False,,,6,0,0,False,False,,[]
8,Fireground,Fireground Digital Services,18531849,947241663524507648,/Fireground/status/947241663524507648,2017-12-30 23:03:06,1514674986,Thomas Fire (Wildfire) http://j.mp/2Crghqu ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Thomas Fire</strong> (Wildfire) <a class=""twitter-timeline-link"" data-expanded-url=""http://j.mp/2Crghqu"" dir=""ltr"" href=""https://t.co/VgAyGplJug"" rel=""nofollow noopener"" target=""_blank"" title=""http://j.mp/2Crghqu""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">j.mp/2Crghqu</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'http://j.mp/2Crghqu',,False,,,0,0,0,False,False,,[]
9,SOhOSB,SOhO Santa Barbara,102464168,947240948966219777,/SOhOSB/status/947240948966219777,2017-12-30 23:00:15,1514674815,Looking forward to seeing you at Thomas Fire Fund and Wildland Firefighter Benefit Ball tonight! http://ticketf.ly/2yZeTba ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Looking forward to seeing you at <strong>Thomas Fire</strong> Fund and Wildland Firefighter Benefit Ball tonight! <a class=""twitter-timeline-link"" data-expanded-url=""http://ticketf.ly/2yZeTba"" dir=""ltr"" href=""https://t.co/7rbZqQnj0X"" rel=""nofollow noopener"" target=""_blank"" title=""http://ticketf.ly/2yZeTba""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ticketf.ly/2yZeTba</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",'http://ticketf.ly/2yZeTba',,False,,,0,0,0,False,False,,[]
