"","Location","lat","lng","location","screen_name","username","user_id","tweet_id","timestamp","timestamp_epochs","text","requesting_help","disaster","languages"
"1","Omaha, NE, USA",41.2565369,-95.9345034,"Omaha, Ne ","JoshuaBrunken","Joshua Brunken-",1485218402,1166110513820028928,"2019-08-26 22:09:46",1566857386,"regarding aka i hopw it dont turn into i hope  and others in florida and georgia louisiana alabama mississippi stay well and be well",0,"hurricane","en"
"2","Orlando, FL, USA",28.5383355,-81.3792365,"Orlando, FL","profraycaputo","ray caputo",100254463,1165949716389142528,"2019-08-26 11:30:49",1566819049,"our top stories on the summit wraps up today china says it wants to talk again about trade its the st day of classes for students including those at the new downtown campus and could soon be w fl in its path",0,"hurricane","en"
"3","Toronto, ON, Canada",43.653226,-79.3831843,"Toronto, Ontario, Canada","BD007Marky","Global Agenda",2358699408,1173022176531943424,"2019-09-14 23:54:15",1568505255,"new video by hurricane dorian predictictive programming in literature the invisible death by victor rousseau",0,"hurricane","en"
"4","Warner Robins, GA, USA",32.6130007,-83.624201,"Warner Robins, GA","FBBC31093","Fellowship Bible Baptist Church",2611901610,1173018076784336896,"2019-09-14 23:37:57",1568504277,"family youve already contributed so much for us to aid those who were affected by if you would like to aid us simply lay your contribution at the altar tomorrow at am we ask that you would refrain from sending clothes however  at fellowship bible baptist church",1,"hurricane","en"
"5","Durham, NC, USA",35.9940329,-78.898619,"Durham, NC","RebuildChurchNC","Rebuild Fellowship Church",975109530429394944,1173017073573859328,"2019-09-14 23:33:58",1568504038,"the work continues hurricane dorian relief collection sunday  pm",0,"hurricane","en"
"6","Berlin, Germany",52.5200066,13.404954,"Berlin, Germany","RealMiBaWi","Michael Barthel",86606520,1172953913215127552,"2019-09-14 19:22:59",1568488979,"meet the cats who survived the bahamas hurricane now theyre in and need your help",1,"hurricane","en"
"7","Jupiter, FL, USA",26.9342246,-80.0942087,"Jupiter, FL","MeyerLucasRE","MEYER LUCAS team at Compass | real estate • design",804381991114276864,1172907486250262528,"2019-09-14 16:18:30",1568477910,"have you been considering investing in hurricane impact windows or shutters after the recent hurricane weve broken down all of the pros and cons of each option in our latest post",0,"hurricane","en"
"8","Miami, FL, USA",25.7616798,-80.1917902,"Miami, FL","taco_marine","TACO Marine",3432031330,1172897112121577472,"2019-09-14 15:37:17",1568475437,"additionally we are collecting new and gently used clothing which is being donated to",1,"hurricane","en"
"9","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
"10","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
